title,genre,total_sales,na_sales,release_date
"Warhammer 40,000: Dawn of War II - Chaos Rising",Strategy,0.1,0.08,2010-03-11
Harry Potter and the Deathly Hallows - Part 2,Action,0.1,0.05,2011-07-12
Black & White 2,Strategy,0.09,0.01,2005-10-04
Star Wars: Empire at War - Gold Pack,Strategy,0.09,0.01,2007-08-15
F.E.A.R. 2: Project Origin,Shooter,0.09,0.04,2009-02-10
Halo 2,Shooter,0.09,0.01,2007-05-31
LEGO Batman: The Videogame,Adventure,0.09,0.04,2008-09-23
Hearts of Iron III,Strategy,0.09,0.04,2009-08-11
Age of Empires II: The Age of Kings,Strategy,0.09,0.01,1999-09-30
Crysis: Maximum Edition,Shooter,0.09,0.0,2009-05-05
Dungeons,Strategy,0.09,0.07,2011-02-10
Homefront: The Revolution,Shooter,0.08,0.04,2016-05-17
Major League Baseball 2K11,Sports,0.08,0.06,2011-03-08
Gray Matter,Adventure,0.08,0.02,2011-02-22
RollerCoaster Tycoon 3: Platinum,Strategy,0.08,0.01,2006-11-08
Super Street Fighter IV: Arcade Edition,Fighting,0.08,0.04,2011-07-05
The Sims 3: Fast Lane Stuff,Simulation,0.08,0.01,2010-09-07
The Sims 3: Barnacle Bay,Simulation,0.08,0.08,2011-03-08
Mirror's Edge Catalyst,Platform,0.08,0.01,2016-06-07
The First Templar,Adventure,0.08,0.06,2011-05-10
Star Wars: Empire at War,Strategy,0.08,0.01,2006-02-15
Street Fighter V,Fighting,0.07,0.0,2016-02-16
Operation Flashpoint: Red River,Shooter,0.07,0.01,2011-06-07
Operation Flashpoint: Dragon Rising,Shooter,0.07,0.03,2009-10-06
Sesame Street: Cookie's Counting Carnival,Misc,0.07,0.06,2010-10-20
Rayman Origins,Platform,0.07,0.0,2012-03-29
Jewel Quest 5: The Sleepless Star,Puzzle,0.07,0.04,2011-02-15
The Lord of the Rings: The Battle for Middle-Earth,Strategy,0.07,0.01,2004-12-06
The Sims 2: Seasons,Simulation,0.07,0.01,2007-02-27
Divinity II: Ego Draconis,Role-Playing,0.07,0.01,2010-01-05
TRON: Evolution,Action,0.07,0.06,2010-12-07
Fable: The Lost Chapters,Role-Playing,0.07,0.01,2005-09-20
Middle-Earth: Shadow of War,Action,0.07,0.03,2017-10-10
Song of the Deep,Action,0.07,0.06,2016-07-12
Blur,Racing,0.06,0.01,2010-05-25
Age of Empires III: The Asian Dynasties,Strategy,0.06,0.0,2007-10-23
Blood Bowl,Sports,0.06,0.04,2010-01-26
S.T.A.L.K.E.R.: Shadow of Chernobyl,Shooter,0.06,0.01,2007-03-20
S.T.A.L.K.E.R.: Call of Pripyat,Shooter,0.06,0.0,2010-02-02
Call of Duty 2,Shooter,0.06,0.0,2005-10-25
Harry Potter and the Sorcerer's Stone,Action,0.06,0.01,2001-11-15
Create,Misc,0.06,0.04,2010-11-16
Casino Chaos With Las Vegas Players Collection,Misc,0.06,0.05,2011-09-13
Final Fantasy XIV: Stormblood,MMO,0.06,0.04,2017-06-20
EverQuest II: Destiny of Velious,Role-Playing,0.06,0.06,2011-02-22
Age of Mythology: The Titans,Strategy,0.06,0.03,2003-09-30
Syndicate,Strategy,0.06,0.0,1993-01-01
Men of War: Assault Squad,Strategy,0.06,0.01,2011-02-25
Age of Empires Online,Strategy,0.06,0.01,2011-08-16
Cities XL 2012,Strategy,0.06,0.01,2011-10-20
Zoo Tycoon: Complete Collection,Strategy,0.06,0.03,2003-08-11
The Sims 2: University,Simulation,0.05,0.01,2005-02-28
Freelancer,Simulation,0.05,0.02,2003-03-03
The Sims,Simulation,0.05,0.01,2000-01-31
Payday 2,Shooter,0.05,0.04,2013-08-13
Medal of Honor: Airborne,Shooter,0.05,0.0,2007-09-04
Life is Strange,Adventure,0.05,0.01,2016-01-19
"Warhammer 40,000: Dawn of War",Strategy,0.05,0.01,2004-09-20
The Elder Scrolls Online: Morrowind,MMO,0.05,0.02,2017-06-06
Airline Tycoon 2,Simulation,0.05,0.0,2011-10-11
Hunted: The Demon's Forge,Role-Playing,0.05,0.03,2011-05-31
Guild Wars Trilogy,Role-Playing,0.05,0.0,2005-04-26
LEGO Indiana Jones 2: The Adventure Continues,Adventure,0.05,0.02,2009-11-17
LEGO Harry Potter: Years 1-4,Adventure,0.05,0.04,2010-06-29
Bejeweled Twist,Puzzle,0.05,0.01,2008-10-27
Sesame Street: Elmo's A-to-Zoo Adventure,Misc,0.05,0.04,2010-10-20
FIFA Manager 12,Sports,0.05,0.0,2011-10-18
Plants vs. Zombies: Garden Warfare 2,Shooter,0.05,0.01,2016-02-23
Section 8,Shooter,0.05,0.03,2009-09-01
Star Wars Battlefront II (2017),Shooter,0.05,0.02,2017-11-17
Mortal Kombat X,Fighting,0.05,0.01,2015-04-14
Syberia III,Role-Playing,0.04,0.02,2017-04-25
Voodoo Chronicles: First Sign,Adventure,0.04,0.03,2011-09-06
Wolfenstein,Shooter,0.04,0.01,2009-08-18
East India Company,Strategy,0.04,0.03,2009-07-31
Elven Legacy,Strategy,0.04,0.04,2009-04-07
Farm Frenzy,Strategy,0.04,0.04,2008-01-30
Patrician IV,Strategy,0.04,0.03,2010-09-14
Company of Heroes: Opposing Fronts,Strategy,0.04,0.01,2007-09-24
APB Reloaded,Role-Playing,0.04,0.02,2011-12-01
Supreme Commander: Forged Alliance,Strategy,0.04,0.01,2007-11-06
You Don't Know Jack,Misc,0.04,0.04,1995-09-30
Drakensang: The Dark Eye,Role-Playing,0.04,0.03,2009-02-23
CSI: Fatal Conspiracy,Adventure,0.04,0.0,2010-10-26
For Honor,Action,0.04,0.02,2017-02-14
JASF: Jane's Advanced Strike Fighters,Simulation,0.04,0.02,2011-10-18
Halo: Combat Evolved,Shooter,0.04,0.02,2003-09-30
Major League Baseball 2K12,Sports,0.04,0.04,2012-03-06
NCIS,Adventure,0.04,0.01,2011-11-01
Sid Meier's Railroads!,Simulation,0.04,0.01,2006-10-17
LEGO Pirates of the Caribbean: The Video Game,Action,0.04,0.04,2011-05-24
The Movies,Simulation,0.04,0.01,2005-11-08
The Sims 2: Pets,Simulation,0.04,0.01,2006-10-17
IGT Slots: Lucky Larry's Lobstermania,Simulation,0.04,0.04,2011-08-22
The Sims Deluxe,Simulation,0.04,0.01,2002-09-15
RollerCoaster Tycoon,Simulation,0.04,0.02,1999-03-31
Doom,Shooter,0.04,0.04,1993-12-10
Scarface: The World is Yours,Adventure,0.04,0.01,2006-10-08
LEGO Indiana Jones: The Original Adventures,Adventure,0.04,0.02,2008-06-03
Blazing Angels: Squadrons of WWII,Simulation,0.03,0.03,2006-03-28
The Sims 2: Bon Voyage,Simulation,0.03,0.01,2007-09-04
NBA 2K13,Sports,0.03,0.0,2012-10-02
Men of War,Strategy,0.03,0.01,2009-03-16
Star Trek: The Game,Action-Adventure,0.03,0.0,2013-04-23
Star Wars: The Force Unleashed II,Action,0.03,0.03,2010-10-26
Mystery Case Files: Ravenhearst,Puzzle,0.03,0.01,2007-01-08
Mortal Kombat,Fighting,0.03,0.02,1994-05-25
Final Fantasy XIV: Heavensward,MMO,0.03,0.02,2015-06-23
Ratatouille,Platform,0.03,0.01,2007-06-26
Monsters vs. Aliens,Platform,0.03,0.01,2009-03-24
S.T.A.L.K.E.R.: Clear Sky,Shooter,0.03,0.0,2008-09-15
Sacra Terra: Angelic Night,Puzzle,0.03,0.01,2011-10-12
Raven Squad: Operation Hidden Dagger,Shooter,0.03,0.03,2009-08-25
X-Men Origins: Wolverine - Uncaged Edition,Action,0.03,0.02,2009-05-01
Nancy Drew: Alibi In Ashes,Adventure,0.03,0.03,2011-10-18
007: Quantum of Solace,Action,0.03,0.01,2008-11-04
Bully: Scholarship Edition,Action,0.03,0.0,2008-10-21
Planescape: Torment,Role-Playing,0.03,0.01,1999-11-30
The Settlers: Rise of an Empire,Strategy,0.02,0.01,2007-09-25
Dungeons - The Dark Lord,Strategy,0.02,0.0,2011-09-27
WorldShift,Strategy,0.02,0.02,2009-11-10
Order of War,Strategy,0.02,0.0,2009-09-22
The Lord of the Rings: The Battle for Middle-Earth II,Strategy,0.02,0.01,2006-03-02
Command & Conquer: The First Decade,Strategy,0.02,0.01,2006-02-07
Mount & Blade: Warband,Role-Playing,0.02,0.01,2010-03-19
Empire Deluxe,Strategy,0.02,0.02,1993-01-01
Guitar Hero III: Legends of Rock,Misc,0.02,0.02,2007-11-13
Escape the Emerald Star,Puzzle,0.02,0.02,2011-09-13
Spider-Man 3,Platform,0.02,0.02,2007-05-04
The Incredibles: Rise of the Underminer,Platform,0.02,0.01,2005-10-24
Ice Age: Dawn of the Dinosaurs,Platform,0.02,0.02,2009-06-30
Command & Conquer Collection,Strategy,0.02,0.01,2003-10-31
Heavy Fire: Afghanistan,Shooter,0.02,0.02,2011-11-22
RollerCoaster Tycoon: Gold Edition,Strategy,0.02,0.01,2002-05-30
The Lord of the Rings: Conquest,Action,0.02,0.0,2009-01-13
Vikings: Wolves of Midgard,Action,0.02,0.01,2017-03-28
The Sims: Complete Collection,Simulation,0.02,0.01,2005-11-02
The Sims 2: Happy Holiday Stuff,Simulation,0.02,0.01,2006-11-08
The Sims 2: Family Fun Stuff,Simulation,0.02,0.0,2006-04-11
Combat Flight Simulator 3: Battle for Europe,Simulation,0.02,0.01,2002-10-25
18 Wheels of Steel: Extreme Trucker,Racing,0.02,0.0,2009-10-02
The Haunted: Hell's Reach,Shooter,0.02,0.02,2011-10-20
Joint Operations: Combined Arms,Shooter,0.02,0.01,2009-08-18
Majesty 2: The Fantasy Kingdom Sim,Strategy,0.02,0.01,2009-09-15
Gears of War,Shooter,0.02,0.0,2007-11-06
Enemy Territory: Quake Wars,Shooter,0.02,0.01,2007-10-02
Shogun: Total War,Strategy,0.01,0.0,2000-06-13
Zuma's Revenge!,Puzzle,0.01,0.01,2009-09-16
Bookworm Deluxe,Puzzle,0.01,0.01,2006-08-30
The Treasures of Mystery Island 3 Pack - Save Mystery Island!,Puzzle,0.01,0.01,2011-09-13
Universe at War: Earth Assault,Strategy,0.01,0.0,2007-12-10
Age of Empires,Strategy,0.01,0.01,1997-09-30
Disciples III: Resurrection,Strategy,0.01,0.01,2011-10-07
End of Nations,Strategy,0.01,0.01,2012-06-12
Black & White 2: Battle of the Gods,Strategy,0.01,0.01,2006-04-25
Zoo Tycoon 2: Extinct Animals,Strategy,0.01,0.01,2007-10-16
Monster Jam,Racing,0.01,0.01,2007-11-13
The Spiderwick Chronicles,Adventure,0.01,0.0,2008-02-05
Heroes of the Storm,Strategy,0.01,0.01,2014-01-01
Dungeons & Dragons Anthology: The Master Collection,Misc,0.01,0.01,2011-11-15
Dungeons & Dragons: Neverwinter Nights - Complete,Misc,0.01,0.01,2011-11-15
Dawn of Fantasy,Strategy,0.01,0.01,2011-06-03
Command & Conquer: Generals,Strategy,0.01,0.01,2003-02-10
Nancy Drew: Secret of the Scarlet Hand,Adventure,0.01,0.01,2002-09-04
Has-Been Heroes,Action,0.01,0.01,2017-03-28
Spider-Man: Friend or Foe,Action,0.01,0.01,2007-10-02
TimeShift,Shooter,0.01,0.01,2007-10-30
Transformers: Fall of Cybertron,Action,0.01,0.01,2012-08-21
Deformers,Action,0.01,0.01,2017-04-21
James Bond 007: Blood Stone,Action,0.01,0.01,2010-11-02
Tiger Woods PGA Tour 06,Sports,0.01,0.01,2005-09-20
SimCity 3000 Unlimited,Simulation,0.01,0.01,2000-05-16
Rise of Flight: Iron Cross Edition,Simulation,0.01,0.01,2010-07-07
Disney Universe,Action,0.01,0.01,2011-10-25
Ultimate Spider-Man,Action,0.01,0.01,2005-09-22
The Mighty Quest for Epic Loot,Action,0.01,0.0,2015-02-05
Breach,Shooter,0.01,0.01,2011-01-26
Madagascar: Escape 2 Africa,Action,0.01,0.01,2008-11-04
Inversion,Shooter,0.01,0.01,2012-06-30
F.E.A.R. Perseus Mandate,Shooter,0.01,0.01,2007-11-06
Marvel: Ultimate Alliance,Role-Playing,0.01,0.01,2006-10-24
